slug,n_units,Q_S2_within,Q_loglog_within
flooding_in_central_and_eastern_europe_sept_16_2024,227,0.5758697313378194,0.07362661522474134
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,33,0.47181119323979703,0.1441047721598787
hurricane_beryl_across_southeastern_texas_us,101,0.4808253796515415,0.16940601216594353
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,338,0.27388721160957497,0.09061187282670635
park_fire_california_29_july_2024,16,0.07599683898306708,0.1625078286221281
spain_flood,74,0.6313370519431014,0.08962656927415336
the_flooding_across_bagmati_and_koshi_provinces_nepal,23,0.32504701029207284,0.3807149387905182
the_flooding_across_rio_grande_do_sul_state_brazil,49,0.2623904912681403,0.2293077060879004
the_wildfires_in_quito_pichincha_province_ecuador,13,0.3973442310644054,0.12389352476364479
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,22,0.23375204701754637,0.19619266556182302
tropical_storm_yagi_philippines_2_september_2024,11,0.18053210076907056,0.1980576122991693
turkiye_earthquake_2023,141,-0.606565322142004,0.12403198656108183
typhoon_krathon_across_taiwan,18,0.2130461693507506,0.5393734719733635
typhoon_yagi_across_northeastern_vietnam,15,0.9027686315848962,0.3160874775807462
